feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
base2,poly2_linear,0.0003,noglasses_highlight_v1,291,0.3848797250859107,0.38564937523665277,0.3848797250859107,0.0,56,83,96,56
base2,poly2_linear,0.0003,noglasses_test_v2,402,0.9950248756218906,0.9952606635071091,0.9950148809523809,0.0,209,2,0,191
base2,poly2_linear,0.001,glasses_highlight_v1,422,0.5947867298578199,0.5947867298578199,0.5784806799263997,0.0,84,127,44,167
base2,poly2_linear,0.001,glasses_highlight_v2,422,0.8341232227488151,0.8341232227488151,0.8294299704360679,0.0,211,0,70,141
base2,poly2_linear,0.001,glasses_test_v2,422,0.8033175355450237,0.8033175355450237,0.8032634032634033,0.0,166,45,38,173
base2,poly2_linear,0.001,noglasses_highlight_v1,291,0.38831615120274915,0.39016944339265425,0.3879620001890538,0.0,60,79,99,53
base2,poly2_linear,0.001,noglasses_test_v2,402,0.9950248756218906,0.9952606635071091,0.9950148809523809,0.0,209,2,0,191
base2,poly2_linear,0.003,glasses_highlight_v1,422,0.6161137440758294,0.6161137440758294,0.5942307692307692,0.0,81,130,32,179
base2,poly2_linear,0.003,glasses_highlight_v2,422,0.8199052132701422,0.8199052132701421,0.8138681895210902,0.0,211,0,76,135
base2,poly2_linear,0.003,glasses_test_v2,422,0.8222748815165877,0.8222748815165877,0.8221940079661578,0.0,169,42,33,178
base2,poly2_linear,0.003,noglasses_highlight_v1,291,0.3951890034364261,0.39797898523286634,0.3939795531995456,0.0,64,75,101,51
base2,poly2_linear,0.003,noglasses_test_v2,402,0.9975124378109452,0.9976303317535544,0.9975068685152224,0.0,210,1,0,191
base2,poly2_linear,0.01,glasses_highlight_v1,422,0.6184834123222749,0.6184834123222749,0.5901256613357625,0.0,75,136,25,186
base2,poly2_linear,0.01,glasses_highlight_v2,422,0.8056872037914692,0.8056872037914692,0.798062558356676,0.0,211,0,82,129
base2,poly2_linear,0.01,glasses_test_v2,422,0.8293838862559242,0.8293838862559242,0.8288302499042297,0.0,163,48,24,187
base2,poly2_linear,0.01,noglasses_highlight_v1,291,0.39862542955326463,0.4015761075350246,0.3972302775640646,0.0,65,74,101,51
base2,poly2_linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg2,linear,0.0003,glasses_highlight_v1,422,0.6445497630331753,0.6445497630331753,0.6165681333591781,0.0,79,132,18,193
avg2,linear,0.0003,glasses_highlight_v2,422,0.9004739336492891,0.9004739336492891,0.899478221415608,0.0,211,0,42,169
avg2,linear,0.0003,glasses_test_v2,422,0.7654028436018957,0.7654028436018958,0.7653699054807677,0.0,164,47,52,159
avg2,linear,0.0003,noglasses_highlight_v1,291,0.3436426116838488,0.3424839076107535,0.3425245750381489,0.0,44,95,96,56
avg2,linear,0.0003,noglasses_test_v2,402,0.9950248756218906,0.9952606635071091,0.9950148809523809,0.0,209,2,0,191
avg2,linear,0.001,glasses_highlight_v1,422,0.6255924170616114,0.6255924170616114,0.6060455662696163,0.0,85,126,32,179
avg2,linear,0.001,glasses_highlight_v2,422,0.8578199052132701,0.8578199052132701,0.8548864079227895,0.0,211,0,60,151
avg2,linear,0.001,glasses_test_v2,422,0.7796208530805687,0.7796208530805687,0.7795205698780358,0.0,160,51,42,169
avg2,linear,0.001,noglasses_highlight_v1,291,0.3745704467353952,0.3745503597122302,0.3743857493857494,0.0,52,87,95,57
avg2,linear,0.001,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,0.003,glasses_highlight_v1,422,0.6042654028436019,0.6042654028436019,0.5933949908552241,0.0,93,118,49,162
avg2,linear,0.003,glasses_highlight_v2,422,0.8530805687203792,0.8530805687203791,0.8498393021120294,0.0,211,0,62,149
avg2,linear,0.003,glasses_test_v2,422,0.7890995260663507,0.7890995260663507,0.7888991934350673,0.0,160,51,38,173
avg2,linear,0.003,noglasses_highlight_v1,291,0.38144329896907214,0.38266755017039,0.38137755102040816,0.0,57,82,98,54
avg2,linear,0.003,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,0.01,glasses_highlight_v1,422,0.590047393364929,0.590047393364929,0.5812987847192352,0.0,94,117,56,155
avg2,linear,0.01,glasses_highlight_v2,422,0.8530805687203792,0.8530805687203791,0.8498393021120294,0.0,211,0,62,149
avg2,linear,0.01,glasses_test_v2,422,0.7890995260663507,0.7890995260663507,0.7887567141933125,0.0,158,53,36,175
avg2,linear,0.01,noglasses_highlight_v1,291,0.38144329896907214,0.38359049602423323,0.3808510638297873,0.0,60,79,101,51
avg2,linear,0.01,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,0.03,glasses_highlight_v1,422,0.5876777251184834,0.5876777251184834,0.5791705829760895,0.0,94,117,57,154
avg2,linear,0.03,glasses_highlight_v2,422,0.8507109004739336,0.8507109004739337,0.8473078138012233,0.0,211,0,63,148
avg2,linear,0.03,glasses_test_v2,422,0.7867298578199052,0.7867298578199052,0.7863411341134113,0.0,157,54,36,175
avg2,linear,0.03,noglasses_highlight_v1,291,0.38144329896907214,0.38359049602423323,0.3808510638297873,0.0,60,79,101,51
avg2,linear,0.03,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,0.1,glasses_highlight_v1,422,0.5853080568720379,0.5853080568720379,0.5764583082420008,0.0,93,118,57,154
